des,fullname,neo,pha,spkid,moid,e,a,q,i,om,w,ma,tp,per,n,ad
2017 YE8,(2017 YE8),True,False,3795151,,0.457,1.35,0.734,10.5,93.6,280,45.6,2458058.666,575,0.626,1.97
2020 SX6,(2020 SX6),True,False,54054724,,0.218,1.27,0.99,0.855,181,156,73.5,2459094.276,521,0.692,1.54
2008 YC3,(2008 YC3),True,False,3441850,,0.0456,1.02,0.97,12,91.5,82.3,177,2459016.322,374,0.962,1.06
2018 EL4,(2018 EL4),True,False,3801935,,0.197,1.06,0.854,3.18,169,271,255,2459316.878,401,0.898,1.27
2016 TG94,(2016 TG94),True,False,3762460,,0.446,1.7,0.94,1.21,199,140,335,2459256.830,808,0.445,2.46
2020 CW,(2020 CW),True,False,3989456,,0.615,1.24,0.477,2.13,132,111,322,2458933.286,503,0.716,2
2021 BR2,(2021 BR2),True,False,54106579,,0.313,1.29,0.884,0.777,297,124,9.05,2459187.104,533,0.675,1.69
2019 QB1,(2019 QB1),True,False,3843592,,0.561,2.08,0.911,2.68,327,316,170,2458682.842,1090,0.329,3.24
2010 XB,(2010 XB),True,False,3552668,,0.659,1.8,0.613,1.5,249,92,19.8,2455484.155,880,0.409,2.98
2017 KH5,(2017 KH5),True,False,3774738,,0.548,1.77,0.8,7.85,65.1,245,165,2458806.148,861,0.418,2.74
2020 XU4,(2020 XU4),True,False,54099947,,0.381,1.55,0.958,2.6,71.3,331,17.7,2459163.945,702,0.512,2.14
2010 GV23,(2010 GV23),True,False,3515451,,0.203,0.93,0.741,3.62,198,234,80.3,2459127.472,327,1.1,1.12
2014 HM199,(2014 HM199),True,False,3698563,,0.408,2.04,1.21,4.58,15,174,14.6,2456737.345,1060,0.339,2.87
2015 KH160,(2015 KH160),True,False,3721993,,0.87,2.71,0.353,9.03,241,247,10.1,2457123.516,1630,0.22,5.08
2015 FC345,(2015 FC345),True,False,3717077,,0.273,1.27,0.923,0.522,179,60.4,328,2459246.319,523,0.688,1.62
2004 FM4,(2004 FM4),True,False,3177213,,0.593,2.02,0.824,2.69,186,289,16.7,2453038.792,1050,0.342,3.22
2020 UA,(2020 UA),True,False,54073339,,0.273,0.859,0.625,1.94,27.7,138,318,2459234.699,291,1.24,1.09
2020 UJ,(2020 UJ),True,False,54073349,,0.63,2.16,0.799,4.11,30.8,59.4,344,2459189.390,1160,0.311,3.51
2017 UW5,(2017 UW5),True,False,3788042,,0.664,2.52,0.846,3.26,209,127,9.37,2458012.518,1460,0.247,4.19
2020 DM3,(2020 DM3),True,False,54005657,,0.681,2.56,0.817,5.37,335,240,61.4,2458945.688,1490,0.241,4.3
2020 UY,(2020 UY),True,False,54073371,,0.253,1.11,0.829,0.826,37.6,70.2,355,2459206.082,427,0.842,1.39
2011 FQ16,(2011 FQ16),True,False,3560196,,0.53,2.13,1,1.43,187,335,7.1,2455627.157,1130,0.318,3.25
2012 BN123,(2012 BN123),True,False,3597091,,0.575,2.57,1.09,8.91,104,351,7,2455928.313,1500,0.24,4.04
2019 VA,(2019 VA),True,False,3892168,,0.552,2.16,0.967,2.03,220,201,122,2458807.148,1160,0.311,3.35
2019 YV4,(2019 YV4),True,False,3963431,,0.741,2.59,0.669,3.64,94.6,284,11.2,2458801.326,1520,0.237,4.5
2017 UL6,(2017 UL6),True,False,3788072,,0.254,1.1,0.821,3.15,215,262,204,2459383.548,422,0.854,1.38
2017 UF,(2017 UF),True,False,3786460,,0.769,2.54,0.586,0.577,23.7,271,11.3,2457997.253,1480,0.243,4.49
2016 GS134,(2016 GS134),True,False,3750666,,0.532,1.87,0.874,0.0897,44.6,96.9,318,2459308.132,932,0.386,2.86
2020 GV2,(2020 GV2),True,False,54016519,,0.69,2.55,0.789,0.702,18.5,123,11.1,2458912.769,1480,0.243,4.3
2008 EF85,(2008 EF85),True,False,3406334,,0.542,2.09,0.957,4.85,355,144,9.34,2454511.895,1100,0.326,3.22
2019 QF,(2019 QF),True,False,3843570,,0.605,2.44,0.963,2.2,151,145,132,2458692.013,1390,0.259,3.91
2020 RB7,(2020 RB7),True,False,54054333,,0.64,1.6,0.577,2.55,178,273,18.9,2459161.518,741,0.486,2.63
2017 TU1,(2017 TU1),True,False,3785681,,0.436,0.795,0.448,0.408,328,197,67.4,2459152.018,259,1.39,1.14
2020 FG,(2020 FG),True,False,54016200,,0.649,2.37,0.832,1.83,183,50,63.7,2458964.277,1330,0.27,3.91
2020 FU2,(2020 FU2),True,False,54016305,,0.566,1.93,0.837,5.67,1.02,122,16.2,2458888.479,978,0.368,3.02
2021 AD4,(2021 AD4),True,False,54105103,,0.0857,0.909,0.831,9.49,107,194,141,2459076.636,317,1.14,0.987
2015 HE1,(2015 HE1),True,False,3716437,,0.492,1.42,0.721,3.45,212,79.5,328,2457186.601,617,0.583,2.12
2020 SL6,(2020 SL6),True,False,54054707,,0.673,2.68,0.878,1.46,12,302,8.44,2459082.831,1610,0.224,4.49
2019 EH1,(2019 EH1),True,False,3838906,,0.487,1.38,0.709,0.603,340,263,6.31,2459190.094,593,0.607,2.06
2020 SK4,(2020 SK4),True,False,54054609,,0.17,1.04,0.864,0.686,189,78,152,2459036.809,387,0.929,1.22
2008 VB4,(2008 VB4),True,False,3437792,,0.618,2.35,0.9,0.0571,189,171,8.69,2454744.651,1320,0.273,3.81
2018 BX5,(2018 BX5),True,False,3798018,,0.333,1.32,0.878,0.0929,165,259,0.756,2459199.341,552,0.652,1.76
2017 VF14,(2017 VF14),True,False,3789391,,0.445,1.46,0.808,0.441,65.4,280,299,2459309.059,642,0.56,2.11
2011 SE191,(2011 SE191),True,False,3580665,,0.654,2.58,0.894,10.3,5.4,310,9.8,2455795.223,1520,0.237,4.27
2015 SK7,(2015 SK7),True,False,3728733,,0.62,2.37,0.903,2.38,360,317,164,2458591.610,1340,0.27,3.84
2015 XH55,(2015 XH55),True,False,3735992,,0.212,1.05,0.825,5.19,70.7,269,320,2459243.458,391,0.92,1.27
2017 BE30,(2017 BE30),True,False,3767157,,0.665,2.24,0.75,5.89,306,109,15.1,2457732.967,1230,0.294,3.73
2012 TP20,(2012 TP20),True,False,3609843,,0.326,1.39,0.934,0.652,208,117,30.3,2459150.259,597,0.603,1.84
2016 FE15,(2016 FE15),True,False,3748551,,0.466,1.44,0.768,0.455,17.4,96.9,293,2459318.279,631,0.571,2.11
2016 VF18,(2016 VF18),True,False,3765029,,0.681,2.78,0.886,0.766,230,136,6.43,2457673.257,1690,0.213,4.67
2017 YD2,(2017 YD2),True,False,3794987,,0.316,0.845,0.578,1.91,277,314,191,2459333.337,284,1.27,1.11
2019 DM1,(2019 DM1),True,False,3838857,,0.694,2.34,0.716,0.614,351,95.7,194,2459803.934,1310,0.276,3.96
2019 YL3,(2019 YL3),True,False,3952749,,0.658,2.8,0.959,3.81,99.4,21.2,70.5,2458864.767,1720,0.21,4.65
2020 AR1,(2020 AR1),True,False,3976535,,0.486,1.79,0.92,0.207,347,160,346,2458886.837,874,0.412,2.66
2013 NR13,(2013 NR13),True,False,3645034,,0.529,2.05,0.966,5.54,113,135,11.9,2456450.845,1070,0.335,3.14
2021 BL2,(2021 BL2),True,False,54106574,,0.434,1.26,0.712,1.84,107,281,42,2459172.449,514,0.7,1.8
2019 CZ1,(2019 CZ1),True,False,3838135,,0.773,2.43,0.551,6.53,137,261,14.5,2458464.889,1380,0.26,4.31
2015 FU344,(2015 FU344),True,False,3717068,,0.491,1.75,0.892,0.896,176,312,15.4,2457062.304,847,0.425,2.61
2020 BA13,(2020 BA13),True,False,3989288,,0.519,1.9,0.914,5.65,127,321,133,2458847.236,956,0.376,2.89
2015 PS228,(2015 PS228),True,False,3726012,,0.0839,1.06,0.968,0.439,273,328,41.8,2459154.413,397,0.907,1.15
2020 GX,(2020 GX),True,False,54016457,,0.483,1.38,0.716,29,14,77.7,45,2458868.270,594,0.606,2.05
2019 QR8,(2019 QR8),True,False,3843862,,0.586,2.42,1,17,153,166,3.63,2458710.644,1370,0.262,3.83
2018 LE1,(2018 LE1),True,False,3825098,,0.206,1.02,0.812,1.8,245,262,246,2459319.962,378,0.953,1.23
2006 BO7,(2006 BO7),True,False,3313558,,0.403,1.44,0.856,0.34,295,248,212,2459458.854,628,0.573,2.02
2014 HE197,(2014 HE197),True,False,3698506,,0.578,2.12,0.894,3.17,185,102,340,2456834.284,1130,0.32,3.34
2018 VP1,(2018 VP1),True,False,3835977,,0.439,1.62,0.909,3.19,39.8,317,37.6,2459121.900,753,0.478,2.33
2010 YD,(2010 YD),True,False,3554416,,0.538,2.04,0.944,0.439,93.9,39.8,141,2458784.103,1070,0.337,3.14
2009 WQ52,(2009 WQ52),True,False,3478351,,0.661,2.57,0.873,5.78,61.3,49.1,352,2455194.338,1510,0.239,4.28
2019 TN5,(2019 TN5),True,False,3878619,,0.617,2.35,0.9,0.799,191,139,128,2458731.299,1320,0.274,3.8
